row_id,signature,technique_id,verdict_1
M053,direct_hdd_access,T1014,overbroad
M048,ransomware_file_modifications,T1486,correct
M044,infostealer_ftp,T1081,unclear
M046,creates_largekey,T1112,overbroad
M025,InjectionCreateRemoteThread,T1055,correct
M052,direct_hdd_access,T1067,overbroad
M029,recon_programs,T1082,correct
M004,InjectionInterProcess,T1055,correct
M018,antisandbox_unhook,T1089,overbroad
M015,uses_windows_utilities_to_create_scheduled_task,T1053,correct
M000,enumerates_running_processes,T1057,correct
M032,packer_upx,T1045,correct
M034,antivm_generic_bios,T1012,overbroad
M035,persistence_registry_script,T1112,overbroad
M041,physical_drive_access,T1014,overbroad
M012,injection_network_traffic,T1071,overbroad
M057,ransomware_files,T1486,correct
M054,modifies_certs,T1112,overbroad
M009,infostealer_browser,T1005,overbroad
M011,createtoolhelp32snapshot_module_enumeration,T1057,correct
M033,explorer_http,T1055,overbroad
M023,antianalysis_detectfile,T1063,overbroad
M030,recon_programs,T1012,overbroad
M008,infostealer_browser,T1081,unclear
M039,persistence_ads,T1096,correct
M026,spawns_dev_util,T1118,correct
M055,antivm_vmware_files,T1083,overbroad
M051,masquerade_process_name,T1036,correct
M024,explorer_http,T1036,incorrect
M014,persistence_autorun_tasks,T1053,correct
M031,antisandbox_sboxie_mutex,T1063,overbroad
M001,process_creation_suspicious_location,T1106,incorrect
M050,antiav_detectfile,T1063,correct
M049,antivm_vbox_files,T1083,overbroad
M045,infostealer_ftp,T1005,overbroad
M043,mass_data_encryption,T1486,correct
M027,spawns_dev_util,T1127,correct
M037,multiple_useragents,T1071,overbroad
M006,dropper,T1129,incorrect
M013,process_needed,T1057,overbroad
M003,packer_unknown_pe_section_name,T1045,correct
M016,pe_compile_timestomping,T1099,correct
M036,registry_credential_store_access,T1003,correct
M020,infostealer_mail,T1003,incorrect
M038,bypass_firewall,T1031,incorrect
M056,suspicious_ioctl_scsipassthough,T1067,overbroad
M022,infostealer_mail,T1005,overbroad
M028,windows_defender_powershell,T1089,correct
M005,encrypts_pcinfo,T1022,overbroad
M042,antivm_vbox_keys,T1012,overbroad
M017,antidbg_devices,T1083,unclear
M047,modify_security_center_warnings,T1031,incorrect
M019,disables_windows_defender,T1089,correct
M040,physical_drive_access,T1067,overbroad
M010,infostealer_browser,T1003,incorrect
M021,infostealer_mail,T1081,unclear
M007,persistence_autorun,T1060,correct
M002,packer_entropy,T1045,correct
